Date,Open (Spot Price USD),High (Spot Price USD),Low (Spot Price USD),Close (Spot Price USD),"('Date', '')","('Open (Spot Price USD)', 'GC=F')","('High (Spot Price USD)', 'GC=F')","('Low (Spot Price USD)', 'GC=F')","('Close (Spot Price USD)', 'GC=F')"
2020-01-02,1549.37,1553.14,1544.42,1550.34,,,,,
2020-01-03,1569.73,1575.87,1565.96,1570.91,,,,,
2020-01-04,1569.73,1575.87,1565.96,1570.91,,,,,
2020-01-05,1569.73,1575.87,1565.96,1570.91,,,,,
2020-01-06,1598.7,1599.13,1582.65,1587.39,,,,,
2020-01-07,1589.33,1595.47,1587.82,1593.64,,,,,
2020-01-08,1599.24,1600.53,1573.93,1581.68,,,,,
2020-01-09,1573.17,1576.84,1566.39,1572.74,,,,,
2020-01-10,1574.79,1583.08,1574.25,1582.22,,,,,
2020-01-11,1574.79,1583.08,1574.25,1582.22,,,,,
2020-01-12,1574.79,1583.08,1574.25,1582.22,,,,,
2020-01-13,1576.19,1576.51,1570.05,1570.48,,,,,
2020-01-14,1566.17,1570.37,1562.51,1569.08,,,,,
2020-01-15,1574.68,1580.28,1570.48,1578.24,,,,,
2020-01-16,1575.33,1577.48,1569.84,1575.76,,,,,
2020-01-17,1577.91,1583.08,1575.76,1578.67,,,,,
2020-01-18,1577.91,1583.08,1575.76,1578.67,,,,,
2020-01-19,1577.91,1583.08,1575.76,1578.67,,,,,
2020-01-20,1573.9250000000002,1582.38,1571.665,1579.5300000000002,,,,,
2020-01-21,1569.94,1581.68,1567.57,1580.39,,,,,
2020-01-22,1579.74,1581.14,1576.51,1580.93,,,,,
2020-01-23,1583.19,1589.87,1579.1,1584.48,,,,,
2020-01-24,1582.11,1598.05,1582.01,1593.74,,,,,
2020-01-25,1582.11,1598.05,1582.01,1593.74,,,,,
2020-01-26,1582.11,1598.05,1582.01,1593.74,,,,,
2020-01-27,1607.31,1608.18,1598.91,1604.62,,,,,
2020-01-28,1597.84,1599.99,1588.9,1590.3,,,,,
2020-01-29,1590.73,1599.99,1589.76,1598.91,,,,,
2020-01-30,1601.39,1608.07,1594.07,1599.02,,,,,
2020-01-31,1603.44,1612.05,1602.68,1608.28,,,,,
2020-02-01,1603.44,1612.05,1602.68,1608.28,,,,,
2020-02-02,1603.44,1612.05,1602.68,1608.28,,,,,
2020-02-03,1601.07,1602.36,1590.51,1597.84,,,,,
2020-02-04,1582.87,1583.51,1570.27,1577.05,,,,,
2020-02-05,1576.51,1581.14,1574.14,1578.99,,,,,
2020-02-06,1586.21,1589.98,1583.19,1587.5,,,,,
2020-02-07,1592.13,1595.9,1586.85,1591.7,,,,,
2020-02-08,1592.13,1595.9,1586.85,1591.7,,,,,
2020-02-09,1592.13,1595.9,1586.85,1591.7,,,,,
2020-02-10,1596.22,1598.81,1592.99,1595.79,,,,,
2020-02-11,1594.28,1595.68,1583.3,1590.3,,,,,
2020-02-12,1587.71,1591.91,1584.91,1589.01,,,,,
2020-02-13,1596.54,1600.21,1593.42,1598.05,,,,,
2020-02-14,1601.93,1606.13,1600.75,1604.73,,,,,
2020-02-15,1601.93,1606.13,1600.75,1604.73,,,,,
2020-02-16,1601.93,1606.13,1600.75,1604.73,,,,,
2020-02-17,1608.0700000000002,1616.685,1605.27,1615.015,,,,,
2020-02-18,1614.21,1627.24,1609.79,1625.3,,,,,
2020-02-19,1626.27,1635.1,1624.33,1634.78,,,,,
2020-02-20,1637.04,1645.98,1636.5,1641.46,,,,,
2020-02-21,1663.21,1671.72,1660.52,1666.12,,,,,
2020-02-22,1663.21,1671.72,1660.52,1666.12,,,,,
2020-02-23,1663.21,1671.72,1660.52,1666.12,,,,,
2020-02-24,1707.04,1707.37,1673.23,1681.09,,,,,
2020-02-25,1670.64,1680.98,1646.84,1651.04,,,,,
2020-02-26,1656.64,1672.37,1646.73,1658.26,,,,,
2020-02-27,1675.6,1683.03,1657.5,1658.58,,,,,
2020-02-28,1644.69,1645.33,1583.73,1598.05,,,,,
2020-02-29,1644.69,1645.33,1583.73,1598.05,,,,,
2020-03-01,1644.69,1645.33,1583.73,1598.05,,,,,
2020-03-02,1615.5,1623.36,1605.16,1606.88,,,,,
2020-03-03,1624.55,1671.93,1623.47,1657.4,,,,,
2020-03-04,1662.89,1668.92,1655.35,1660.3,,,,,
2020-03-05,1680.77,1697.57,1677.1,1696.17,,,,,
2020-03-06,1705.21,1715.12,1664.4,1696.81,,,,,
2020-03-07,1705.21,1715.12,1664.4,1696.81,,,,,
2020-03-08,1705.21,1715.12,1664.4,1696.81,,,,,
2020-03-09,1708.12,1716.41,1683.67,1699.61,,,,,
2020-03-10,1682.06,1684.54,1662.78,1663.75,,,,,
2020-03-11,1682.81,1685.5,1654.38,1657.83,,,,,
2020-03-12,1631.98,1632.19,1581.57,1591.7,,,,,
2020-03-13,1609.25,1611.19,1524.82,1543.13,,,,,
